ATCOCode,CommonName,Street,NptgLocalityCode,LocalityName,GridType,Longitude,Latitude,StopType,BusStopType,TimingStatus,Status
1980SNA09451,Butterfield Road,Burgess Road,E0041967,Bassett,UKOS,-1.41224,50.93476,BCT,MKD,OTH,active
1980SNA09453,King Edward's School,Wilton Road,E0042018,Shirley,UKOS,-1.41878,50.92196,BCT,MKD,OTH,inactive
1980SNA09452,King Edward's School,Wilton Road,E0042018,Shirley,UKOS,-1.41878,50.92186,BCT,MKD,OTH,inactive
1980SNA09229,English Road,English Road,E0041986,Freemantle,UKOS,-1.43454,50.91829,BCT,HAR,OTH,active
1980SNA09231,Latham Court,Waterhouse Way,E0042019,Shirley Park,UKOS,-1.43787,50.91826,BCT,HAR,OTH,active
1980SNA09230,Latham Court,Waterhouse Way,E0042019,Shirley Park,UKOS,-1.4375,50.91811,BCT,HAR,OTH,active
1980SNA09228,Heysham Road,Foundry Lane,E0041986,Freemantle,UKOS,-1.43349,50.91839,BCT,HAR,OTH,active
1980SNA09233,Heysham Road,Foundry Lane,E0041986,Freemantle,UKOS,-1.43336,50.91841,BCT,HAR,OTH,active
1980SNA09234,Salcombe Road,Foundry Lane,E0041986,Freemantle,UKOS,-1.43266,50.91674,BCT,HAR,OTH,active
1980SNA09236,Dunkirk Road,Coxford Road,E0041997,Lordswood,UKOS,-1.42648,50.9411,BCT,HAR,OTH,active
1980SNA09223,Howard Road,Howard Road,E0042018,Shirley,UKOS,-1.42247,50.91458,BCT,HAR,OTH,inactive
1980SN120P07,Pitt Road,Park Road,E0041986,Freemantle,UKOS,-1.42603,50.91398,BCT,MKD,OTH,active
1980SNA09225,Pitt Road,Park Road,E0041986,Freemantle,UKOS,-1.42558,50.91386,BCT,HAR,OTH,active
1980SNA09227,Nelson Road,Foundry Lane,E0041986,Freemantle,UKOS,-1.43221,50.9144,BCT,HAR,OTH,active
1980SNA09241,Warbler Close H&R area,Sandpiper Road,N0073217,Lord's Hill,UKOS,-1.4342,50.94775,BCT,HAR,OTH,active
1980SNA09237,Warbler Close H&R area,Sandpiper Road,N0073217,Lord's Hill,UKOS,-1.43293,50.9467,BCT,HAR,OTH,active
1980SNA09299,Omdurman Road,Highfield Road,E0041989,Highfield,UKOS,-1.40306,50.93081,BCT,MKD,OTH,active
1980SNA09300,Glen Eyre Hall,Glen Eyre Road,E0041967,Bassett,UKOS,-1.40256,50.94207,BCT,MKD,OTH,inactive
1980SNA09313,Glenwood Avenue,Glen Eyre Road,E0041967,Bassett,UKOS,-1.40482,50.94614,BCT,MKD,OTH,active
1980SNA09323,Lower Brownhill Road,Romsey Road,E0042000,Maybush,UKOS,-1.45276,50.93597,BCT,MKD,OTH,active
1980SN121046,Lower Brownhill Road,Romsey Road,E0042000,Maybush,UKOS,-1.45277,50.93612,BCT,MKD,OTH,active
1980SNA09240,Woburn Road,Dunvegan Drive,N0073217,Lord's Hill,UKOS,-1.43166,50.94596,BCT,HAR,OTH,active
1980SNA09238,Woburn Road,Sandpiper Road,N0073217,Lord's Hill,UKOS,-1.43318,50.94491,BCT,HAR,OTH,active
1980SNA09242,Gannet Close H&R area,Sandpiper Road,N0073217,Lord's Hill,UKOS,-1.43899,50.94461,BCT,HAR,OTH,active
1980HA120638,Dock Gate 4,Platform Road,E0042014,Queens Park,UKOS,-1.39868,50.89698,BCT,MKD,OTH,inactive
